sand,clay,drainage
12,50,1.637002
12,48,1.650261
12,46,1.669996
12,44,1.688994
12,42,1.720535
12,40,1.751092
12,38,1.772545
12,36,1.786456
12,34,1.793598
12,32,1.794196
12,30,1.795972
12,28,1.800484
12,26,1.815529
12,24,1.844393
12,22,1.897958
12,20,1.990478
12,18,2.116263
12,16,2.27001
12,14,2.465205
12,12,2.699148
12,10,2.971206
12,8,3.281158
12,6,3.630098
12,4,4.025432
12,2,4.477169
12,0,4.959233
14,86,0.689577
14,84,0.712225
14,82,0.741441
14,80,0.774775
14,78,0.809602
14,76,0.848274
14,74,0.887564
14,72,0.932899
14,70,0.983337
14,68,1.039591
14,66,1.10384
14,64,1.177468
14,62,1.261236
14,60,1.349748
14,58,1.430406
14,56,1.492783
14,54,1.531277
14,52,1.557446
14,50,1.582782
14,48,1.608156
14,46,1.634085
14,44,1.656665
14,42,1.687428
14,40,1.719032
14,38,1.749183
14,36,1.77274
14,34,1.784262
14,32,1.783612
14,30,1.789068
14,28,1.800582
14,26,1.818766
14,24,1.840375
14,22,1.894809
14,20,1.973292
14,18,2.093062
14,16,2.262072
14,14,2.459146
14,12,2.684375
14,10,2.966566
14,8,3.28404
14,6,3.62894
14,4,4.034264
14,2,4.472414
14,0,4.969191
16,84,0.672112
16,82,0.698709
16,80,0.73127
16,78,0.76625
16,76,0.803408
16,74,0.844379
16,72,0.887235
16,70,0.93347
16,68,0.988083
16,66,1.047546
16,64,1.115368
16,62,1.195189
16,60,1.279503
16,58,1.361375
16,56,1.42706
16,54,1.466266
16,52,1.482324
16,50,1.500045
16,48,1.542139
16,46,1.584217
16,44,1.615886
16,42,1.647232
16,40,1.682284
16,38,1.716976
16,36,1.74533
16,34,1.766106
16,32,1.775303
16,30,1.783533
16,28,1.792492
16,26,1.812377
16,24,1.841306
16,22,1.887896
16,20,1.966991
16,18,2.083343
16,16,2.244829
16,14,2.444805
16,12,2.677766
16,10,2.952188
16,8,3.281793
16,6,3.632342
16,4,4.033543
16,2,4.481292
16,0,4.971651
18,82,0.654893
18,80,0.68542
18,78,0.718676
18,76,0.757389
18,74,0.796741
18,72,0.84114
18,70,0.886398
18,68,0.93757
18,66,0.993109
18,64,1.056562
18,62,1.130729
18,60,1.212515
18,58,1.293785
18,56,1.363176
18,54,1.409706
18,52,1.423227
18,50,1.423837
18,48,1.446929
18,46,1.504819
18,44,1.559413
18,42,1.605117
18,40,1.644293
18,38,1.68286
18,36,1.72182
18,34,1.744354
18,32,1.763295
18,30,1.775326
18,28,1.78733
18,26,1.802313
18,24,1.833826
18,22,1.881484
18,20,1.952109
18,18,2.073143
18,16,2.234198
18,14,2.428395
18,12,2.66929
18,10,2.948084
18,8,3.270838
18,6,3.630699
18,4,4.040683
18,2,4.495109
18,0,4.981058
20,80,0.639498
20,78,0.670041
20,76,0.706134
20,74,0.746009
20,72,0.789523
20,70,0.836124
20,68,0.885746
20,66,0.940522
20,64,0.998912
20,62,1.067067
20,60,1.142825
20,58,1.225703
20,56,1.299916
20,54,1.352817
20,52,1.377554
20,50,1.370149
20,48,1.368051
20,46,1.398465
20,44,1.468238
20,42,1.536247
20,40,1.593781
20,38,1.641415
20,36,1.684332
20,34,1.721531
20,32,1.751196
20,30,1.763114
20,28,1.784585
20,26,1.795604
20,24,1.830243
20,22,1.875527
20,20,1.946825
20,18,2.06905
20,16,2.222062
20,14,2.421772
20,12,2.66453
20,10,2.93683
20,8,3.264839
20,6,3.633328
20,4,4.035351
20,2,4.482987
20,0,4.981694
22,78,0.623303
22,76,0.65643
22,74,0.693862
22,72,0.736225
22,70,0.780317
22,68,0.82967
22,66,0.88497
22,64,0.942754
22,62,1.00705
22,60,1.078126
22,58,1.155345
22,56,1.231944
22,54,1.296238
22,52,1.331078
22,50,1.33117
22,48,1.316627
22,46,1.318845
22,44,1.358312
22,42,1.433779
22,40,1.520841
22,38,1.591819
22,36,1.644843
22,34,1.696854
22,32,1.732972
22,30,1.756491
22,28,1.777001
22,26,1.797186
22,24,1.826206
22,22,1.874494
22,20,1.951739
22,18,2.063481
22,16,2.219592
22,14,2.408861
22,12,2.655495
22,10,2.934136
22,8,3.26637
22,6,3.62293
22,4,4.033104
22,2,4.48817
22,0,4.982512
24,76,0.609614
24,74,0.64383
24,72,0.682014
24,70,0.724966
24,68,0.77177
24,66,0.823572
24,64,0.880236
24,62,0.943017
24,60,1.012026
24,58,1.087645
24,56,1.163519
24,54,1.232481
24,52,1.280968
24,50,1.293271
24,48,1.280048
24,46,1.26779
24,44,1.280977
24,42,1.325919
24,40,1.410082
24,38,1.511403
24,36,1.591286
24,34,1.657137
24,32,1.704982
24,30,1.744146
24,28,1.771606
24,26,1.795396
24,24,1.830211
24,22,1.881567
24,20,1.950604
24,18,2.067424
24,16,2.211101
24,14,2.402648
24,12,2.655145
24,10,2.935243
24,8,3.258098
24,6,3.62104
24,4,4.034322
24,2,4.479062
24,0,4.973126
26,74,0.601299
26,72,0.632624
26,70,0.671912
26,68,0.715089
26,66,0.763214
26,64,0.816247
26,62,0.875721
26,60,0.943116
26,58,1.014999
26,56,1.092318
26,54,1.163066
26,52,1.221662
26,50,1.248383
26,48,1.244313
26,46,1.228628
26,44,1.225682
26,42,1.250043
26,40,1.302506
26,38,1.38647
26,36,1.497742
26,34,1.597306
26,32,1.665158
26,30,1.72027
26,28,1.758714
26,26,1.794241
26,24,1.826058
26,22,1.882289
26,20,1.953366
26,18,2.060309
26,16,2.208098
26,14,2.404314
26,12,2.643058
26,10,2.926633
26,8,3.254475
26,6,3.622938
26,4,4.026416
26,2,4.470189
26,0,4.95967
28,72,0.596473
28,70,0.632121
28,68,0.669487
28,66,0.711916
28,64,0.759243
28,62,0.81314
28,60,0.87505
28,58,0.94337
28,56,1.016124
28,54,1.090189
28,52,1.152886
28,50,1.193109
28,48,1.20304
28,46,1.187345
28,44,1.178233
28,42,1.18913
28,40,1.226188
28,38,1.282988
28,36,1.370039
28,34,1.490855
28,32,1.599703
28,30,1.680954
28,28,1.735891
28,26,1.781687
28,24,1.823798
28,22,1.883691
28,20,1.955076
28,18,2.057264
28,16,2.208618
28,14,2.406625
28,12,2.636085
28,10,2.910532
28,8,3.241851
28,6,3.613017
28,4,4.021903
28,2,4.459827
28,0,4.946166
30,70,0.60198
30,68,0.636111
30,66,0.673875
30,64,0.715828
30,62,0.763812
30,60,0.815269
30,58,0.875623
30,56,0.94242
30,54,1.013154
30,52,1.079657
30,50,1.127391
30,48,1.145804
30,46,1.140276
30,44,1.126882
30,42,1.128405
30,40,1.154553
30,38,1.203791
30,36,1.268909
30,34,1.360432
30,32,1.483255
30,30,1.60518
30,28,1.696897
30,26,1.759416
30,24,1.812357
30,22,1.874318
30,20,1.94592
30,18,2.053251
30,16,2.198263
30,14,2.397763
30,12,2.632254
30,10,2.910022
30,8,3.228471
30,6,3.589832
30,4,4.001889
30,2,4.462625
30,0,4.938909
32,68,0.616745
32,66,0.651294
32,64,0.687889
32,62,0.729891
32,60,0.775769
32,58,0.828713
32,56,0.887393
32,54,0.948711
32,52,1.008884
32,50,1.062696
32,48,1.090446
32,46,1.08934
32,44,1.075867
32,42,1.066571
32,40,1.083137
32,38,1.122787
32,36,1.182746
32,34,1.257727
32,32,1.354882
32,30,1.476677
32,28,1.605809
32,26,1.711593
32,24,1.787159
32,22,1.851654
32,20,1.933625
32,18,2.039943
32,16,2.190718
32,14,2.38288
32,12,2.610818
32,10,2.891467
32,8,3.215113
32,6,3.579379
32,4,3.980709
32,2,4.42554
32,0,4.92078
34,66,0.637161
34,64,0.672151
34,62,0.711137
34,60,0.755001
34,58,0.801617
34,56,0.85285
34,54,0.906456
34,52,0.963242
34,50,1.012432
34,48,1.042544
34,46,1.049551
34,44,1.035805
34,42,1.018949
34,40,1.019331
34,38,1.047102
34,36,1.098892
34,34,1.16736
34,32,1.249206
34,30,1.347495
34,28,1.464135
34,26,1.600367
34,24,1.721282
34,22,1.818204
34,20,1.907768
34,18,2.021556
34,16,2.170441
34,14,2.361217
34,12,2.590831
34,10,2.863862
34,8,3.192766
34,6,3.546764
34,4,3.963319
34,2,4.397551
34,0,4.895822
36,64,0.661558
36,62,0.699184
36,60,0.740562
36,58,0.785358
36,56,0.834497
36,54,0.886537
36,52,0.939059
36,50,0.986262
36,48,1.021597
36,46,1.031779
36,44,1.018882
36,42,0.997199
36,40,0.984538
36,38,0.997851
36,36,1.035183
36,34,1.092454
36,32,1.16247
36,30,1.246106
36,28,1.342701
36,26,1.453959
36,24,1.588731
36,22,1.720714
36,20,1.845814
36,18,1.966667
36,16,2.115675
36,14,2.31333
36,12,2.54027
36,10,2.816917
36,8,3.150337
36,6,3.509092
36,4,3.9143
36,2,4.357601
36,0,4.845514
38,62,0.685708
38,60,0.727085
38,58,0.771246
38,56,0.819314
38,54,0.871233
38,52,0.92414
38,50,0.972671
38,48,1.013117
38,46,1.032458
38,44,1.025315
38,42,1.00324
38,40,0.983322
38,38,0.982363
38,36,1.00722
38,34,1.053373
38,32,1.112962
38,30,1.183458
38,28,1.261996
38,26,1.349977
38,24,1.454549
38,22,1.580458
38,20,1.725321
38,18,1.87239
38,16,2.03519
38,14,2.222108
38,12,2.45867
38,10,2.743598
38,8,3.059608
38,6,3.426179
38,4,3.8401
38,2,4.299347
38,0,4.779483
40,60,0.710488
40,58,0.754614
40,56,0.801719
40,54,0.85403
40,52,0.907014
40,50,0.96089
40,48,1.006454
40,46,1.036577
40,44,1.042229
40,42,1.02419
40,40,1.00143
40,38,0.99168
40,36,1.006527
40,34,1.045927
40,32,1.101635
40,30,1.166641
40,28,1.237748
40,26,1.311439
40,24,1.390364
40,22,1.480981
40,20,1.603396
40,18,1.753644
40,16,1.920991
40,14,2.109204
40,12,2.343044
40,10,2.60984
40,8,2.938282
40,6,3.307207
40,4,3.717987
40,2,4.173077
40,0,4.676851
42,58,0.736303
42,56,0.782721
42,54,0.83454
42,52,0.889183
42,50,0.943203
42,48,0.995943
42,46,1.034267
42,44,1.052698
42,42,1.048098
42,40,1.027464
42,38,1.01302
42,36,1.019204
42,34,1.05415
42,32,1.10808
42,30,1.174493
42,28,1.246183
42,26,1.318794
42,24,1.391261
42,22,1.464635
42,20,1.546756
42,18,1.665948
42,16,1.823759
42,14,2.014268
42,12,2.235767
42,10,2.485087
42,8,2.786182
42,6,3.136304
42,4,3.539929
42,2,3.997624
42,0,4.496438
44,56,0.763198
44,54,0.81269
44,52,0.867381
44,50,0.924266
44,48,0.979327
44,46,1.02663
44,44,1.055154
44,42,1.062204
44,40,1.052563
44,38,1.037987
44,36,1.038693
44,34,1.06549
44,32,1.119197
44,30,1.188624
44,28,1.266244
44,26,1.348854
44,24,1.42459
44,22,1.495006
44,20,1.567343
44,18,1.65643
44,16,1.77745
44,14,1.948588
44,12,2.160122
44,10,2.400211
44,8,2.67949
44,6,3.002566
44,4,3.380153
44,2,3.813519
44,0,4.302761
46,54,0.790974
46,52,0.844146
46,50,0.903294
46,48,0.961262
46,46,1.012822
46,44,1.052259
46,42,1.072496
46,40,1.071937
46,38,1.060754
46,36,1.059758
